ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Iteration Path,State,UserRole,Preconditions,ShortDescription,Description,Priority,Tags
"556256","Test Case","[Bulk Assignments] Validate the fields in Staff Member Bulk Assignments and validate the user can assign the staff",,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Ready,authorized users,User has bulk assignment privileges. Multiple persons exist in search results without staff assignments.,AC: Validate Staff Bulk Assignment fields and assignment. PBI 915981 - List NOT refreshed and selections retained after operation.,AC: Validate Assignment Type. Staff Member. Location. Effective Start Date. Note. Is Primary fields. Complete assignment and verify list NOT refreshed. Selections retained. Verify via person profile. PBI 915981.,2,BulkAssignmentsModule; AIUpdated; PBI915981
,,,"1","Login to the test environment","User is logged in and the Home page displays",,,,,,,,,
,,,"2","Navigate to the 3 dot ellipsis menu and click Bulk Assignments","The Bulk Assignments List page displays",,,,,,,,,
,,,"3","Fill in the required fields as desired for the test and click on Run Query","Bulk Assignments List page displays with the filtered records",,,,,,,,,
,,,"4","Select 1 or more records and click on the Assign Staff button in the Bulk Assignments list","Staff Member Bulk Assignments modal displays",,,,,,,,,
,,,"5","Validate the Assignment Type is a required field which is a single select drop down that displays the list of available Assignment Types","Validated",,,,,,,,,
,,,"6","Validate the Staff Member is a required field which is a single select drop down that displays the list of available staff members","Validated",,,,,,,,,
,,,"7","Validate the Location is a required field which is a single select drop down that displays the list of available locations","Validated",,,,,,,,,
,,,"8","Validate Effective Start Date is a required date field","Validated",,,,,,,,,
,,,"9","Validate Note is a text field which only allows 10000 characters by attempting to add more and receiving an error message","Validated",,,,,,,,,
,,,"10","Validate the Is Primary Assignment is a check box that is not required field","Validated",,,,,,,,,
,,,"11","Fill in data in all the required fields and click on Continue","A confirmation modal displays with the text: You are about to assign a staff member to the selected member records. Would you like to continue?",,,,,,,,,
,,,"12","Click on Continue and validate the status of the assignment is displayed","Validated",,,,,,,,,
,,,"13","Click on the Close button","Modal closes",,,,,,,,,
,,,"14","Verify the Bulk Assignments list is NOT refreshed after closing the modal","Grid displays same data as before - no reload or flicker occurred (PBI 915981)",,,,,,,,,
,,,"15","Verify previously selected records remain selected","All previously selected records are still selected with same selection count (PBI 915981)",,,,,,,,,
,,,"16","Click Open Person Profile button for one of the selected persons","Person profile page opens",,,,,,,,,
,,,"17","Navigate to Staff Assignment section in person profile","Staff Assignment section is displayed",,,,,,,,,
,,,"18","Verify the assigned staff member appears in the persons staff assignments","The staff member assigned in step 11 is displayed as an active assignment for the person",,,,,,,,,
,,,"19","Logout of the testing environment","User is logged out",,,,,,,,,
"556258","Test Case","[Bulk Assignments] Validate the fields in Location Bulk Unassignments and validate the user can unassign the location",,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Ready,authorized users,User has bulk assignment privileges. Persons with existing location assignments exist in search results.,AC: Validate Location Bulk Unassignment fields and unassignment. PBI 915981 - List NOT refreshed and selections retained after operation.,AC: Validate Discharge Reason. Other Discharge Reason. Notes fields. Complete unassignment and verify list NOT refreshed. Selections retained. Verify removal via person profile. PBI 915981.,2,BulkAssignmentsModule; AIUpdated; PBI915981
,,,"1","Login to the test environment","User is logged in and the Home page displays",,,,,,,,,
,,,"2","Navigate to the 3 dot ellipsis menu and click Bulk Assignments","The Bulk Assignments List page displays",,,,,,,,,
,,,"3","Fill in the required fields as desired for the test and click on Run Query","Bulk Assignments List page displays with the filtered records",,,,,,,,,
,,,"4","Select 1 or more records and click on the Unassign Location button in the Bulk Assignments list","Location Bulk Unassignments modal displays",,,,,,,,,
,,,"5","Validate the Discharge Reason is a required field which is a single select drop down that displays the values: Deceased. Required higher level of care. Declined Services. Terminated Services. Transferred. Other.","Validated",,,,,,,,,
,,,"6","Validate if Discharge Reason is Other the Other (Discharge Reason) single select drop down field is displayed which is a required field","Validated",,,,,,,,,
,,,"7","Validate Notes is a text field which only allows 10000 characters by attempting to add more and receiving an error message","Validated",,,,,,,,,
,,,"8","Fill in data in all the required fields and click on Continue","A confirmation modal displays with the text: You are about to unassign location from the selected member records. Would you like to continue?",,,,,,,,,
,,,"9","Click on Continue and validate the status of the assignment is displayed","Validated",,,,,,,,,
,,,"10","Click on the Close button","Modal closes",,,,,,,,,
,,,"11","Verify the Bulk Assignments list is NOT refreshed after closing the modal","Grid displays same data as before - no reload or flicker occurred (PBI 915981)",,,,,,,,,
,,,"12","Verify previously selected records remain selected","All previously selected records are still selected with same selection count (PBI 915981)",,,,,,,,,
,,,"13","Click Open Person Profile button for one of the selected persons","Person profile page opens",,,,,,,,,
,,,"14","Navigate to Location Assignment section in person profile","Location Assignment section is displayed",,,,,,,,,
,,,"15","Verify the location assignment has been removed or end-dated","The previously assigned location no longer appears as active assignment",,,,,,,,,
,,,"16","Logout of the testing environment","User is logged out",,,,,,,,,
"556263","Test Case","[Bulk Assignments] Validate the fields in Staff Member Bulk Unassignments and validate the user can unassign the staff",,,,DC-ST\Carity,DC-ST\Teams\Kolar Gold Fields,Ready,authorized users,User has bulk assignment privileges. Persons with existing staff assignments exist in search results.,AC: Validate Staff Bulk Unassignment fields and unassignment. PBI 915981 - List NOT refreshed and selections retained after operation.,AC: Validate Unassign Reason. Other Unassign Reason. Notes fields. Complete unassignment and verify list NOT refreshed. Selections retained. Verify removal via person profile. PBI 915981.,2,BulkAssignmentsModule; AIUpdated; PBI915981
,,,"1","Login to the test environment","User is logged in and the Home page displays",,,,,,,,,
,,,"2","Navigate to the 3 dot ellipsis menu and click Bulk Assignments","The Bulk Assignments List page displays",,,,,,,,,
,,,"3","Fill in the required fields as desired for the test and click on Run Query","Bulk Assignments List page displays with the filtered records",,,,,,,,,
,,,"4","Select 1 or more records and click on the Unassign Staff button in the Bulk Assignments list","Staff Member Bulk Unassignments modal displays",,,,,,,,,
,,,"5","Validate the Unassign Reason is a required field which is a single select drop down that displays the values: Deceased. Department involuntarily ends services/termination due to no contact. Moved out of State and chose to terminate services. Moved to Nursing Facility. No longer chooses to receive services. No longer eligible for Medicaid. Other. Services not used. Termination of Gx/Cx and does not receive services.","Validated",,,,,,,,,
,,,"6","Validate if Unassign Reason is Other the Other (Unassign Reason) single select drop down field is displayed which is a required field","Validated",,,,,,,,,
,,,"7","Validate Notes is a text field which only allows 10000 characters by attempting to add more and receiving an error message","Validated",,,,,,,,,
,,,"8","Fill in data in all the required fields and click on Continue","A confirmation modal displays with the text: You are about to unassign staff member from the selected member records. Would you like to continue?",,,,,,,,,
,,,"9","Click on Continue and validate the status of the assignment is displayed","Validated",,,,,,,,,
,,,"10","Click on the Close button","Modal closes",,,,,,,,,
,,,"11","Verify the Bulk Assignments list is NOT refreshed after closing the modal","Grid displays same data as before - no reload or flicker occurred (PBI 915981)",,,,,,,,,
,,,"12","Verify previously selected records remain selected","All previously selected records are still selected with same selection count (PBI 915981)",,,,,,,,,
,,,"13","Click Open Person Profile button for one of the selected persons","Person profile page opens",,,,,,,,,
,,,"14","Navigate to Staff Assignment section in person profile","Staff Assignment section is displayed",,,,,,,,,
,,,"15","Verify the staff assignment has been removed or end-dated","The previously assigned staff member no longer appears as active assignment",,,,,,,,,
,,,"16","Logout of the testing environment","User is logged out",,,,,,,,,
